t_rel_s,code,label,time_unix,time_lsl,time_perf,offset_unix_minus_lsl,time_webapp,webapp_minus_local_ms,inserted_to_board,raw
127.472689,400.000000,400,1788108863.911866,326191.043832,101025.929314,1787782672.868035,1788108863.910000,-1.866341,True,"{""marker"":400,""timestamp"":1788108863.91}"
127.473129,410.000000,410,1788108863.912306,326191.044268,101025.929747,1787782672.868038,1788108863.910000,-2.305984,True,"{""marker"":410,""timestamp"":1788108863.91}"
127.473260,420.000000,420,1788108863.912437,326191.044399,101025.929877,1787782672.868039,1788108863.910000,-2.437353,True,"{""marker"":420,""timestamp"":1788108863.91}"
127.972322,430.000000,430,1788108864.411499,326191.543463,101026.428945,1787782672.868036,1788108864.410000,-1.498461,True,"{""marker"":430,""timestamp"":1788108864.41}"
129.047669,450.000000,450,1788108865.486846,326192.618809,101027.504291,1787782672.868037,1788108865.485000,-1.846075,True,"{""marker"":450,""timestamp"":1788108865.485}"
129.348675,440.000000,440,1788108865.787852,326192.919814,101027.805297,1787782672.868038,1788108865.786000,-1.852274,True,"{""marker"":440,""timestamp"":1788108865.786}"
129.349163,410.000000,410,1788108865.788340,326192.920300,101027.805780,1787782672.868040,1788108865.786000,-2.340078,True,"{""marker"":410,""timestamp"":1788108865.786}"
129.349346,420.000000,420,1788108865.788523,326192.920483,101027.805961,1787782672.868041,1788108865.786000,-2.523184,True,"{""marker"":420,""timestamp"":1788108865.786}"
129.939659,430.000000,430,1788108866.378836,326193.510797,101028.396281,1787782672.868038,1788108866.377000,-1.835585,True,"{""marker"":430,""timestamp"":1788108866.377}"
130.448267,450.000000,450,1788108866.887444,326194.019405,101028.904887,1787782672.868039,1788108866.886000,-1.443624,True,"{""marker"":450,""timestamp"":1788108866.886}"
130.746602,440.000000,440,1788108867.185779,326194.317738,101029.203220,1787782672.868041,1788108867.184000,-1.779079,True,"{""marker"":440,""timestamp"":1788108867.184}"
130.747045,410.000000,410,1788108867.186222,326194.318180,101029.203659,1787782672.868042,1788108867.184000,-2.221584,True,"{""marker"":410,""timestamp"":1788108867.184}"
130.747171,420.000000,420,1788108867.186348,326194.318306,101029.203785,1787782672.868042,1788108867.184000,-2.348423,True,"{""marker"":420,""timestamp"":1788108867.184}"
131.259824,430.000000,430,1788108867.699001,326194.830960,101029.716441,1787782672.868041,1788108867.698000,-1.000881,True,"{""marker"":430,""timestamp"":1788108867.698}"
132.341741,450.000000,450,1788108868.780918,326195.913008,101030.798492,1787782672.867910,1788108868.779000,-1.917601,True,"{""marker"":450,""timestamp"":1788108868.779}"
132.645445,440.000000,440,1788108869.084622,326196.216580,101031.102062,1787782672.868042,1788108869.083000,-1.621962,True,"{""marker"":440,""timestamp"":1788108869.083}"
